#options: 400x294 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=4 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:24.99 aq:16.95 tex:76209 mv:14639 misc:6000 imb:475 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:25.61 aq:17.55 tex:22166 mv:2800 misc:338 imb:54 pmb:351 smb:70 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:25.61 aq:21.08 tex:2538 mv:1636 misc:530 imb:0 pmb:206 smb:269 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:25.61 aq:22.97 tex:521 mv:548 misc:411 imb:0 pmb:80 smb:395 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:25.61 aq:22.96 tex:425 mv:321 misc:374 imb:0 pmb:63 smb:412 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:27.49 aq:19.06 tex:15028 mv:2569 misc:347 imb:68 pmb:335 smb:72 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:26.55 aq:21.90 tex:2010 mv:897 misc:509 imb:4 pmb:151 smb:320 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:26.08 aq:21.42 tex:714 mv:333 misc:393 imb:3 pmb:82 smb:390 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:27.02 aq:20.55 tex:311 mv:141 misc:268 imb:0 pmb:36 smb:439 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:23.49 aq:15.07 tex:31245 mv:2710 misc:333 imb:45 pmb:380 smb:50 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:25.49 aq:22.19 tex:1509 mv:1002 misc:537 imb:1 pmb:154 smb:320 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:26.49 aq:22.63 tex:295 mv:190 misc:323 imb:0 pmb:46 smb:429 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:24.49 aq:20.56 tex:488 mv:298 misc:294 imb:0 pmb:43 smb:432 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:17.93 aq:9.81 tex:82785 mv:2911 misc:208 imb:52 pmb:406 smb:17 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:20.71 aq:18.22 tex:6661 mv:2196 misc:519 imb:4 pmb:286 smb:185 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:22.10 aq:20.04 tex:1578 mv:836 misc:490 imb:2 pmb:136 smb:337 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:19.32 aq:18.99 tex:3228 mv:1149 misc:535 imb:1 pmb:216 smb:258 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:16.42 aq:8.48 tex:82424 mv:3021 misc:243 imb:50 pmb:392 smb:33 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:17.18 aq:14.00 tex:11715 mv:2838 misc:479 imb:4 pmb:353 smb:118 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:17.55 aq:16.41 tex:3782 mv:1437 misc:565 imb:2 pmb:238 smb:235 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:16.80 aq:16.40 tex:5757 mv:1947 misc:512 imb:1 pmb:285 smb:189 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:15.35 aq:7.96 tex:82137 mv:2665 misc:278 imb:29 pmb:385 smb:61 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:15.89 aq:13.13 tex:10739 mv:2424 misc:469 imb:1 pmb:337 smb:137 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:16.15 aq:14.99 tex:6408 mv:1513 misc:543 imb:0 pmb:269 smb:206 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:15.62 aq:14.76 tex:3620 mv:1198 misc:542 imb:2 pmb:229 smb:244 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:14.47 aq:6.35 tex:162957 mv:3342 misc:149 imb:142 pmb:331 smb:2 d:- ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:14.91 aq:10.90 tex:18792 mv:2483 misc:453 imb:2 pmb:377 smb:96 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:15.13 aq:14.06 tex:4292 mv:1306 misc:562 imb:2 pmb:251 smb:222 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:14.69 aq:13.38 tex:15068 mv:1883 misc:489 imb:5 pmb:324 smb:146 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:14.86 aq:7.17 tex:74038 mv:2871 misc:267 imb:35 pmb:395 smb:45 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:14.66 aq:10.98 tex:12248 mv:2583 misc:449 imb:1 pmb:342 smb:132 d:- ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:14.57 aq:13.63 tex:3693 mv:1217 misc:554 imb:0 pmb:245 smb:230 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:14.76 aq:14.70 tex:4390 mv:1622 misc:532 imb:0 pmb:254 smb:221 d:- ref:0 ;
